['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. preorders']
['1', 'X-Men', '75', '$2.99', 'Marvel', '146,013']
['2', 'Uncanny X-Men', '355', '$1.99', 'Marvel', '143,526']
['3', 'Spawn', '72', '$1.95', 'Image', '131,783']
['4', 'Avengers', '4', '$1.99', 'Marvel', '112,318']
['5', 'Danger Girl', '1', '$2.95', 'Image', '109,619']
['6', 'Fantastic Four', '5', '$1.99', 'Marvel', '106,446']
['7', 'Wolverine', '124', '$1.99', 'Marvel', '105,979']
['8', 'JLA', '18', '$1.95', 'DC', '101,547']
['9', 'Iron Man', '4', '$1.99', 'Marvel', '96,977']
['10', 'Captain America', '5', '$1.99', 'Marvel', '95,968']
['11', 'Tales Of The Darkness', '1', '$2.95', 'Image', '93,699']
['12', 'Darkness', '14', '$2.50', 'Image', '89,926']
['13', 'Curse Of Spawn', '19', '$1.95', 'Image', '76,561']
['14', 'Generation X', '38', '$1.99', 'Marvel', '75,621']
['15', 'JLA Year One', '5', '$1.95', 'DC', '72,013']
['16', 'Amazing Spider-Man', '434', '$1.99', 'Marvel', '70,493']
['17', 'X-Force', '77', '$1.99', 'Marvel', '69,244']
['18', 'X-Man', '38', '$1.99', 'Marvel', '67,358']
['19', 'X-Factor', '145', '$1.99', 'Marvel', '67,353']
['20', 'X-Men Alpha Flight', '1', '$2.99', 'Marvel', '65,291']
['21', 'Peter Parker Spider-Man', '91', '$1.99', 'Marvel', '65,073']
['22', 'Incredible Hulk', '464', '$1.99', 'Marvel', '64,993']
['23', 'Divine Right', '6', '$2.50', 'Image', '64,154']
['24', 'Cable', '54', '$1.99', 'Marvel', '63,835']
['25', 'Spectacular Spider-Man', '257', '$1.99', 'Marvel', '62,761']
['26', 'Ascension', '6', '$2.50', 'Image', '61,582']
['27', 'Gen 13', '27', '$2.50', 'Image', '61,109']
['28', 'Sensational Spider-Man', '27', '$1.99', 'Marvel', '61,024']
['29', 'Darkchylde', '0', '$2.50', 'Image', '60,599']
['30', 'Star Trek TNG X-Men Second Contact', '', '$4.99', 'Marvel', '57,278']
['31', 'Superman', '135', '$1.95', 'DC', '55,211']
['32', 'Kiss The Psycho Circus', '8', '$2.25', 'Image', '54,807']
['33', 'Action Comics', '744', '$1.95', 'DC', '53,197']
['34', 'Batman', '554', '$1.95', 'DC', '53,138']
['35', 'Adventures Of Superman', '557', '$1.95', 'DC', '53,096']
['36', 'Excalibur', '120', '$1.99', 'Marvel', '53,016']
['37', 'Superman Man Of Steel', '79', '$1.95', 'DC', '52,256']
['38', 'Thunderbolts', '14', '$1.99', 'Marvel', '49,551']
['39', 'Detective Comics', '721', '$1.95', 'DC', '49,158']
['40', 'Nightwing', '20', '$1.95', 'DC', '47,713']
['41', 'Gen 12', '2', '$2.50', 'Image', '45,460']
['42', 'Alpha Flight', '10', '$1.99', 'Marvel', '44,625']
['43', 'Danger Girl', '1 Chromium Ed', '$4.50', 'Image', '43,749']
['44', 'Generation X Underground', '', '$2.50', 'Marvel', '43,456']
['45', 'Deadpool', '16', '$1.99', 'Marvel', '43,440']
['46', 'Green Lantern', '98', '$1.95', 'DC', '43,223']
['47', 'Preacher', '37', '$2.50', 'DC', '43,148']
['48', 'Tenth', '7', '$2.50', 'Image', '43,021']
['49', 'Batman Shadow Of The Bat', '74', '$1.95', 'DC', '42,681']
['50', 'Catwoman', '57', '$1.95', 'DC', '41,671']
['51', 'Robin', '53', '$1.95', 'DC', '41,474']
['52', 'Flash', '137', '$1.95', 'DC', '41,278']
['53', 'Nightwing And Huntress', '1', '$1.95', 'DC', '40,954']
['54', 'Marvel Annual 98/Cable &\nMachine Man', '', '$2.99', 'Marvel', '39,971']
['55', 'Batman Arkham Asylum Tales Of\nMadness', '1', '$2.95', 'DC', '39,965']
['56', 'Star Wars Crimson Empire', '4', '$2.95', 'Dark Horse', '38,159']
['57', 'Batman Legends Of The Dark Knight', '106', '$1.95', 'DC', '38,079']
['58', 'Batman Huntress Spoiler Blunt Trauma', '1', '$2.95', 'DC', '37,606']
['59', 'Supergirl', '21', '$1.95', 'DC', '37,287']
['60', 'Wonder Woman', '133', '$1.95', 'DC', '37,128']
['61', 'Batman Chronicles', '12', '$2.95', 'DC', '36,586']
['62', 'Spider-Man Unlimited', '20', '$2.99', 'Marvel', '36,214']
['63', 'Batman Bane Of The Demon', '3', '$1.95', 'DC', '35,619']
['64', 'Lady Death', '3', '$2.95', 'Chaos', '35,608']
['65', 'Legends Of The DC Universe', '4', '$1.95', 'DC', '35,523']
['66', 'Green Lantern & Sentinel\nHeart/Darkness', '3', '$1.95', 'DC', '35,502']
['67', 'Voodoo', '4', '$2.50', 'Image', '35,496']
['68', 'Pitt', '17', '$2.50', 'Full Bleed', '34,811']
['69', 'X-Files', '39', '$2.95', 'Topps', '33,477']
['70', 'WilDCore', '4', '$2.50', 'Image', '33,339']
['71', 'Star Wars The Last Command', '4', '$2.95', 'Dark Horse', '32,669']
['72', 'Star Wars Shadows of the Empire\nEvolution', '2', '$2.95', 'Dark Horse', '32,515']
