['\n', 'Comic-book\nTitle', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'Forever Evil', '1', '$3.99', 'DC', '139,976']
['2', 'Infinity', '2', '$3.99', 'Marvel', '125,985']
['3', 'Infinity', '3', '$3.99', 'Marvel', '123,285']
['4', 'X-Men Battle of Atom', '1', '$3.99', 'Marvel', '113,928']
['5', 'Batman (Joker)', '23.1', '$3.99', 'DC', '107,680']
['6', 'Batman (Riddler)', '23.2', '$3.99', 'DC', '107,413']
['7', 'Mighty Avengers', '1', '$3.99', 'Marvel', '101,921']
['8', 'Batman (Bane)', '23.4', '$3.99', 'DC', '95,298']
['9', 'Avengers', '19', '$3.99', 'Marvel', '92,489']
['10', 'Batman (Penguin)', '23.3', '$3.99', 'DC', '89,850']
['11', 'Superior Spider-Man', '17', '$3.99', 'Marvel', '89,118']
['12', 'All New X-Men', '16', '$3.99', 'Marvel', '84,218']
['13', 'Superior Spider-Man', '18', '$3.99', 'Marvel', '80,178']
['14', 'The Star Wars', '1', '$3.99', 'Dark Horse', '78,467']
['15', 'Justice League (Darkseid)', '23.1', '$3.99', 'DC', '78,200']
['16', 'Uncanny X-Men', '12', '$3.99', 'Marvel', '76,790']
['17', 'Avengers', '20', '$3.99', 'Marvel', '74,388']
['18', 'X-Men', '5', '$3.99', 'Marvel', '73,357']
['19', 'Walking Dead', '114', '$2.99', 'Image', '70,440']
['20', 'Guardians of Galaxy', '6', '$3.99', 'Marvel', '69,030']
['21', 'Batman Superman (Doomsday)', '3.1', '$3.99', 'DC', '68,150']
['22', 'Uncanny Avengers', '12', '$3.99', 'Marvel', '66,353']
['23', 'Batman Black & White', '1', '$4.99', 'DC', '65,018']
['24', 'New Avengers', '10', '$3.99', 'Marvel', '60,682']
['25', 'Wolverine And X-Men', '36', '$3.99', 'Marvel', '59,684']
['26', 'Saga', '14', '$2.99', 'Image', '55,585']
['27', 'Action Comics (Cyborg Superman)', '23.1', '$3.99', 'DC', '50,146']
['28', 'Batman and Robin (Two Face)', '23.1', '$3.99', 'DC', '49,917']
['29', 'Justice League of America (Black Adam)', '7.4', '$3.99', 'DC', '49,625']
['30', 'Action Comics (Zod)', '23.2', '$3.99', 'DC', '49,557']
['31', 'Batman and Robin (Ras al Ghul)', '23.3', '$3.99', 'DC', '49,452']
['32', 'Action Comics (Lex Luthor)', '23.3', '$3.99', 'DC', '49,310']
['33', 'Batman and Robin (Court of Owls)', '23.2', '$3.99', 'DC', '49,205']
