['\n', 'Comic-book\nTitle', 'Issue', 'Price', 'Publisher', 'Est. sales']
['1', 'Avengers Vs X-Men', '1', '$3.99', 'Marvel', '203,181']
['2', 'Avengers Vs X-Men', '0', '$3.99', 'Marvel', '134,509']
['3', 'Justice League', '7', '$3.99', 'DC', '131,697']
['4', 'Batman', '7', '$2.99', 'DC', '127,402']
['5', 'Avengers Assemble', '1', '$3.99', 'Marvel', '100,883']
['6', 'Action Comics', '7', '$3.99', 'DC', '91,822']
['7', 'Green Lantern', '7', '$2.99', 'DC', '90,232']
['8', 'Detective Comics', '7', '$2.99', 'DC', '89,891']
['9', 'Batman The Dark Knight', '7', '$2.99', 'DC', '75,297']
['10', 'Superman', '7', '$2.99', 'DC', '66,588']
['11', 'Flash', '7', '$2.99', 'DC', '64,975']
['12', 'Aquaman', '7', '$2.99', 'DC', '62,345']
['13', 'Batman And Robin', '7*', '$2.99', 'DC', '61,209']
['14', 'Uncanny X-Men', '8', '$3.99', 'Marvel', '57,568']
['15', 'Amazing Spider-Man', '682', '$3.99', 'Marvel', '57,143']
['16', 'Uncanny X-Men', '9', '$3.99', 'Marvel', '56,976']
['17', 'Age of Apocalypse', '1', '$2.99', 'Marvel', '56,426']
['18', 'Avengers X-Sanction', '4', '$3.99', 'Marvel', '55,677']
['19', 'Wolverine And X-Men', '7', '$3.99', 'Marvel', '54,559']
['20', 'Avengers', '24', '$3.99', 'Marvel', '52,242']
['21', 'Avengers', '24.1', '$2.99', 'Marvel', '52,164']
['22', 'Amazing Spider-Man', '681', '$3.99', 'Marvel', '52,143']
['23', 'New Avengers', '23', '$3.99', 'Marvel', '51,697']
['24', 'Teen Titans', '7', '$2.99', 'DC', '51,402']
['25', 'Wonder Woman', '7', '$2.99', 'DC', '51,314']
['26', 'Uncanny X-Force', '23', '$3.99', 'Marvel', '48,867']
['27', 'Green Lantern New Guardians', '7', '$2.99', 'DC', '48,422']
['28', 'Batwoman', '7', '$2.99', 'DC', '46,874']
['29', 'Ultimate Comics Spider-Man', '8', '$3.99', 'Marvel', '46,290']
['30', 'Batgirl', '7*', '$2.99', 'DC', '45,685']
['31', 'Nightwing', '7*', '$2.99', 'DC', '45,440']
['32', 'Kick-Ass 2', '7', '$4.99', 'Marvel', '45,213']
['33', 'Green Lantern Corps', '7*', '$2.99', 'DC', '43,823']
['34', 'Fantastic Four', '604', '$3.99', 'Marvel', '42,126']
['35', 'Captain America', '9', '$3.99', 'Marvel', '41,631']
['36', 'Avenging Spider-Man', '5', '$3.99', 'Marvel', '40,877']
['37', 'Incredible Hulk', '6', '$3.99', 'Marvel', '40,522']
['38', 'Swamp Thing', '7', '$2.99', 'DC', '40,268']
['39', 'Daredevil', '10', '$2.99', 'Marvel', '38,137']
['40', 'Saga', '1*', '$2.99', 'Image', '37,641']
['41', 'Red Lanterns', '7*', '$2.99', 'DC', '37,465']
['42', 'Wolverine', '302', '$3.99', 'Marvel', '37,213']
['43', 'FF', '16', '$2.99', 'Marvel', '37,152']
['44', 'Wolverine', '303', '$3.99', 'Marvel', '36,368']
['45', 'X-Men Legacy', '263', '$2.99', 'Marvel', '35,999']
['46', 'X-Men Legacy', '264', '$2.99', 'Marvel', '35,953']
['47', 'X-Men', '26', '$3.99', 'Marvel', '35,833']
['48', 'Catwoman', '7*', '$2.99', 'DC', '35,647']
['49', 'Winter Soldier', '3', '$2.99', 'Marvel', '34,923']
['50', 'Red Hood And The Outlaws', '7*', '$2.99', 'DC', '34,767']
['51', 'Supercrooks', '1', '$2.99', 'Marvel', '34,673']
['52', 'Astonishing X-Men', '48', '$3.99', 'Marvel', '34,182']
