['', 'Comic-book Title', 'Issue', 'Price', 'Publisher', 'Est. preorders']
['1', 'Uncanny X-Men', '353', '$1.99', 'Marvel', '154,418']
['2', 'X-Men', '73', '$1.99', 'Marvel', '148,639']
['3', 'Avengers', '2', '$1.99', 'Marvel', '138,884']
['4', 'Spawn', '70', '$1.95', 'Image', '138,051']
['5', 'Iron Man', '2', '$1.99', 'Marvel', '129,906']
['6', 'Fantastic Four', '3', '$1.99', 'Marvel', '121,664']
['7', 'Wolverine', '122', '$1.99', 'Marvel', '116,702']
['8', 'JLA', '16', '$1.95', 'DC', '108,920']
['9', 'Captain America', '3', '$1.99', 'Marvel', '108,292']
['10', 'Witchblade', '20', '$2.50', 'Image', '97,147']
['11', 'Darkness', '12', '$2.50', 'Image', '94,587']
['12', 'Curse Of Spawn', '17', '$1.95', 'Image', '86,315']
['13', 'Generation X', '36', '$1.99', 'Marvel', '83,688']
['14', 'JLA Year One', '3', '$1.95', 'DC', '80,239']
['15', 'X-Force', '75', '$2.99', 'Marvel', '78,962']
['16', 'X-Men Unlimited', '18', '$2.99', 'Marvel', '76,959']
['17', 'X-Man', '36', '$1.99', 'Marvel', '74,807']
['18', 'JLA Paradise Lost', '3', '$1.95', 'DC', '74,276']
['19', 'X-Factor', '143', '$1.99', 'Marvel', '74,250']
['20', 'Cable', '52', '$1.99', 'Marvel', '72,278']
['21', 'Amazing Spider-Man', '432', '$1.99', 'Marvel', '68,175']
['22', 'Incredible Hulk', '462', '$1.99', 'Marvel', '67,761']
['23', 'Ascension', '4', '$2.50', 'Image', '67,240']
['24', 'Spider-Man', '89', '$1.99', 'Marvel', '61,997']
['25', 'Spectacular Spider-Man', '255', '$1.99', 'Marvel', '60,883']
['26', 'Sensational Spider-Man', '25', '$2.99', 'Marvel', '60,342']
['27', 'Excalibur', '118', '$1.99', 'Marvel', '57,613']
['28', 'Superman', '133', '$1.95', 'DC', '54,700']
['29', 'Action Comics', '742', '$1.95', 'DC', '52,554']
['30', 'Lady Death', '1', '$2.95', 'Chaos', '51,921']
['31', 'Superman Man Of Steel', '77', '$1.95', 'DC', '51,875']
['32', 'Creech', '3', '$2.50', 'Image', '51,650']
['33', 'Batman', '552', '$1.95', 'DC', '51,098']
['34', 'Thunderbolts', '12', '$2.99', 'Marvel', '50,015']
['35', 'Alpha Flight', '8', '$1.99', 'Marvel', '49,315']
['36', 'Superman The Man Of Tomorrow', '10', '$1.95', 'DC', '47,899']
['37', 'Green Lantern', '96', '$1.95', 'DC', '47,450']
['38', 'Deadpool', '14', '$1.99', 'Marvel', '47,087']
['39', 'Flash', '135', '$1.95', 'DC', '46,847']
['40', 'Astro City', '0.5', '$2.50', 'Image', '46,560']
['41', 'Detective Comics', '719', '$1.95', 'DC', '46,121']
['42', 'Unlimited Access', '4', '$2.99', 'Marvel', '44,057']
['43', 'Preacher', '35', '$2.50', 'DC', '43,791']
['44', 'Batman Bane of the Demon', '1', '$1.95', 'DC', '43,607']
['45', 'Bishop Xavier Security Enforcer', '3', '$2.50', 'Marvel', '43,265']
['46', 'Nightwing', '18', '$1.95', 'DC', '42,733']
['47', 'Tenth', '5', '$2.50', 'Image', '40,577']
['48', 'Batman Legends of the Dark Knight', '104', '$1.95', 'DC', '40,551']
['49', 'Green Lantern/Sentinel\nHeart/Darkness', '1', '$1.95', 'DC', '39,253']
['50', 'Wildcore', '3', '$2.50', 'Image', '38,988']
['51', 'Preacher Special One Mans War ', '', '$4.95', 'DC', '38,870']
['52', 'Supergirl', '19', '$1.95', 'DC', '38,737']
['53', 'Star Wars Crimson Empire', '2', '$2.95', 'Dark Horse', '38,487']
['54', 'Wonder Woman', '131', '$1.95', 'DC', '38,109']
['55', 'Batman Shadow of the Bat', '72', '$1.95', 'DC', '38,012']
['56', 'Legends of the DC Universe', '2', '$1.95', 'DC', '37,858']
['57', 'Xena Warrior Princess', '3', '$2.95', 'Topps', '37,787']
['58', 'Voodoo', '3', '$2.50', 'Image', '37,470']
['59', 'X-Files', '38', '$2.95', 'Topps', '36,806']
['60', 'Catwoman', '55', '$1.95', 'DC', '36,540']
['61', 'Gen 13 Bootleg', '15', '$2.50', 'Image', '36,361']
['62', 'Darkchylde Swimsuit Illustrated', '1', '$2.95', 'Image', '36,320']
['63', 'Robin', '51', '$1.95', 'DC', '35,620']
['64', 'Xena Warrior Princess: Xena/Dragons\nTeeth', '2*', '$2.95', 'Topps', '35,329']
['65', 'Ka-Zar', '11', '$1.99', 'Marvel', '33,852']
['66', 'Babylon 5 In Valens Name', '1', '$2.50', 'DC', '33,740']
['67', 'What If?', '106', '$1.99', 'Marvel', '33,592']
